번호,구분,근거,화장실명,소재지도로명주소,소재지지번주소,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,개방시간상세,설치연월,WGS84위도,WGS84경도,화장실소유구분,오물처리방식,안전관리시설설치대상여부,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자
1,개방화장실,,산호빌딩,서울특별시 금천구 벚꽃로38길 15,,1,2,0,0,0,0,2,0,0,서울특별시 금천구청,02-2627-1475,,24시간,1983-10,37.48215245,126.8839528,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,없음,N,N,없음,,2020-07-31
2,개방화장실,,대명합동시장,서울특별시 금천구 시흥동 884-4,,2,2,0,0,0,0,2,0,0,서울특별시 금천구청,02-2627-1475,,07:00~24:00,2020-01,37.45428665,126.9018183,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,없음,N,N,없음,,2020-07-31
3,공중화장실,,종합청사,서울특별시 금천구 시흥대로73길 70,서울특별시 금천구 시흥동 1020,4,3,1,1,0,0,8,1,0,서울특별시 금천구청,02-2627-1003,,24시간,2020-03,37.45706511,126.8960352,공공기관-지방자치단체,수세식,,Y,남자화장실+여자화장실,N,Y,여자화장실,,2020-07-31
4,공중화장실,,기아대교,,서울특별시 금천구 시흥동 766-5,1,1,0,0,0,0,1,1,0,서울특별시 금천구청,02-2627-1862,,24시간,2020-03,37.4399576,126.9007057,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-07-31
5,공중화장실,,시흥대교,,서울특별시 금천구 시흥동 784-21,0,2,0,0,0,0,1,1,0,서울특별시 금천구청,02-2627-1862,,24시간,2020-03,37.4489203,126.8967444,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-07-31
6,공중화장실,,금천구청역 뒤,,서울특별시 금천구 독산동 732-3,1,2,1,0,0,0,2,1,0,서울특별시 금천구청,02-2627-1862,,24시간,2020-02,37.4553281,126.8936166,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-07-31
7,공중화장실,,자전거보관소,,서울특별시 금천구 독산동 727-2,1,2,0,0,0,0,2,0,0,서울특별시 금천구청,02-2627-1862,,24시간,2020-01,37.4566535,126.8930308,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-07-31
8,공중화장실,,금천교,,서울특별시 금천구 가산동 707-3,1,2,0,0,0,0,3,0,0,서울특별시 금천구청,02-2627-1862,,24시간,2020-03,37.4654584,126.8854471,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-07-31
9,공중화장실,,대륭테크노타운 앞,,서울특별시 금천구 가산동 340-5,1,1,0,0,0,0,1,1,0,서울특별시 금천구청,02-2627-1862,,24시간,2020-04,37.4683556,126.8836688,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-07-31
10,공중화장실,,철산교,,서울특별시 금천구 가산동 614-45,1,1,0,0,0,0,1,1,0,서울특별시 금천구청,02-2627-1862,,24시간,2020-05,37.4787197,126.8757179,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-07-31
11,공중화장실,,광명대교,,서울특별시 금천구 가산동 538-11,1,1,0,0,0,0,2,0,0,서울특별시 금천구청,02-2627-1862,,24시간,2020-03,37.4831858,126.8738803,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-07-31
12,공중화장실,,한신아파트 앞,,서울특별시 금천구 독산동 719-14,1,2,1,0,0,0,2,1,0,서울특별시 금천구청,02-2627-1862,,24시간,2020-03,37.4590423,126.8892068,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-07-31
13,공중화장실,,어린이물놀이장,,서울특별시 금천구 독산동 668-47,1,2,1,0,0,0,2,1,0,서울특별시 금천구청,02-2627-1862,,24시간,2020-02,37.4643166,126.8870522,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-07-31
14,공중화장실,,독산근린공원,,서울특별시 금천구 독산동 1086,2,2,0,0,0,0,2,0,0,서울특별시 금천구청,02-2627-1653,,24시간,1995-05,37.4636133,126.8841338,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2020-07-31
15,공중화장실,,금나래중앙공원,,서울특별시 금천구 독산동 448-15,1,3,1,0,0,0,4,1,0,서울특별시 금천구청,02-2627-1653,,24시간,2020-01,37.4586732,126.8928869,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2020-07-31
16,공중화장실,,금천체육공원,,서울특별시 금천구 독산동 산198-3,3,3,1,0,0,0,6,1,2,서울특별시 금천구청,02-2627-1653,,24시간,2020-03,37.4678308,126.9096395,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2020-07-31
17,공중화장실,,산기슭공원,,서울특별시 금천구 시흥동 산138-3,2,4,1,0,0,0,6,1,0,서울특별시 금천구청,02-2627-1653,,24시간,2020-03,37.46298498,126.9071224,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2020-07-31
18,공중화장실,,은행공원,,서울특별시 금천구 시흥동 836,1,3,0,0,0,0,2,0,0,서울특별시 금천구청,02-2627-1654,,24시간,2000-03,37.452043,126.9069858,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2020-07-31
19,공중화장실,,독산3동 다목적광장,,서울특별시 금천구 독산동 971,2,2,1,0,0,0,2,1,0,서울특별시 금천구청,02-2627-1655,,24시간,2020-04,37.4763121,126.9018749,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2020-07-31
20,공중화장실,,감로천생태공원 화장실,,서울특별시 금천구 독산동 산197,1,1,0,0,0,0,1,0,0,서울특별시 금천구청,02-2627-1653,,24시간,2020-03,37.4699341,126.9011464,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-07-31
21,공중화장실,,호압사 화장실,,서울특별시 금천구 시흥동 233,2,3,1,0,0,0,3,1,0,서울특별시 금천구청,02-2627-1665,,24시간,2020-03,37.4521188,126.9251191,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2020-07-31
22,공중화장실,,녹지42초소 화장실,,서울특별시 금천구 시흥동 산77-13,1,1,0,0,0,0,1,0,0,서울특별시 금천구청,02-2627-1665,,24시간,2020-05,37.44627142,126.9097377,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2020-07-31
23,공중화장실,,박미배드민턴장 화장실,,서울특별시 금천구 시흥동 산6-7,1,0,0,0,0,0,1,0,0,서울특별시 금천구청,02-2627-1665,,24시간,2020-03,37.4397637,126.9108099,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-07-31
24,공중화장실,,독산자연공원 화장실,,서울특별시 금천구 독산동 산89-5,1,1,0,0,0,0,1,0,0,서울특별시 금천구청,02-2627-1665,,24시간,2020-03,37.473535,126.9073048,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2020-07-31
25,공중화장실,,만수천 화장실,,서울특별시 금천구 독산동 산8,1,1,0,0,0,0,2,0,0,서울특별시 금천구청,02-2627-1665,,24시간,2020-05,37.4748437,126.9095932,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2020-07-31
